Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Openness,Conscientousness,Extraversion,Agreeableness,Emotional_Range,Conversation,Openness to Change,Hedonism,Self-enhancement,Self-transcendence,career
3.25,4.5,3.25,2.0,2.0,3.25,4.5,2.0,2.0,2.0,4.5,4.5,2.0,2.0,4.5,3.25,2.0,0.8,0.5,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,Artificial Intelligence (AI)
4.5,2.0,2.0,2.0,2.0,2.0,3.25,2.0,2.0,3.25,4.5,3.25,4.5,4.5,4.5,3.25,2.0,0.5,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,Data analysts and scientists
3.25,3.25,4.5,4.5,4.5,2.0,3.25,2.0,4.5,2.0,2.0,3.25,2.0,2.0,2.0,4.5,2.0,0.2,0.8,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,Cybersecurity analyst
4.5,4.5,4.5,3.25,4.5,3.25,3.25,2.0,2.0,2.0,2.0,3.25,2.0,2.0,2.0,4.5,2.0,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,Cloud engineers
3.25,2.0,4.5,3.25,4.5,3.25,4.5,4.5,2.0,3.25,2.0,4.5,2.0,2.0,2.0,3.25,2.0,0.2,0.8,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,DevOps engineers
4.5,2.0,3.25,2.0,3.25,4.5,4.5,3.25,2.0,3.25,2.0,4.5,2.0,2.0,2.0,3.25,4.5,0.8,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,Full stack developers
3.25,4.5,4.5,4.5,3.25,3.25,4.5,2.0,2.0,2.0,2.0,4.5,2.0,2.0,2.0,3.25,2.0,0.8,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,Blockchain engineers
2.0,2.0,2.0,2.0,2.0,4.5,3.25,3.25,2.0,4.5,2.0,3.25,3.25,4.5,2.0,2.0,4.5,0.8,0.2,0.5,0.8,0.2,0.2,0.2,0.2,0.2,0.2,UX/UI Product Designers
2.0,2.0,2.0,2.0,2.0,3.25,2.0,4.5,2.0,4.5,2.0,3.25,4.5,4.5,3.25,4.5,3.25,0.2,0.8,0.8,0.2,0.2,0.8,0.2,0.2,0.2,0.2,Product Managers
3.25,4.5,4.5,4.5,4.5,2.0,2.0,3.25,2.0,3.25,2.0,3.25,2.0,2.0,2.0,4.5,2.0,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,Network and Systems Administrators
